County,PublishAgency,PublishTime,SiteName,UVI,WGS84Lat,WGS84Lon
屏東縣,環境保護署,2019-03-28 08:00,屏東,1,"22,40,23.09","120,29,16.92"
高雄市,環境保護署,2019-03-28 08:00,橋頭,1,"22,45,27.02","120,18,20.48"
臺南市,環境保護署,2019-03-28 08:00,新營,1,"23,18,20.28","120,19,2.10"
嘉義縣,環境保護署,2019-03-28 08:00,朴子,1,"23,28,1.64","120,14,52.12"
嘉義縣,環境保護署,2019-03-28 08:00,塔塔加,1,"23,28,14.19","120,52,50.06"
嘉義縣,環境保護署,2019-03-28 08:00,阿里山,1,"23,30,30.82","120,48,05.02"
雲林縣,環境保護署,2019-03-28 08:00,斗六,1,"23,42,42.67","120,32,41.98"
南投縣,環境保護署,2019-03-28 08:00,南投,1,"23,54,46.8","120,41,7.1"
彰化縣,環境保護署,2019-03-28 08:00,彰化,1,"24,03,57.60","120,32,29.47"
臺中市,環境保護署,2019-03-28 08:00,沙鹿,1,"24,13,32.26","120,34,7.66"
苗栗縣,環境保護署,2019-03-28 08:00,苗栗,1,"24,33,54.97","120,49,12.72"
桃園市,環境保護署,2019-03-28 08:00,桃園,1,"24,59,41.02","121,18,17.83"
新北市,環境保護署,2019-03-28 08:00,板橋,1,"25,00,46.7","121,27,31.2"
新北市,環境保護署,2019-03-28 08:00,淡水,1,"25,09,52.20","121,26,57.26"
花蓮縣,中央氣象局,2019-03-28 08:00,花蓮,0.96,"23,58,30","121,36,48"
連江縣,中央氣象局,2019-03-28 08:00,馬祖,0.70,"26,10,09","119,55,24"
高雄市,中央氣象局,2019-03-28 08:00,高雄,0.66,"22,33,58","120,18,57"
南投縣,中央氣象局,2019-03-28 08:00,玉山,1.65,"23,29,15","120,57,34"
臺南市,中央氣象局,2019-03-28 08:00,臺南,0.90,"22,59,36","120,12,17"
新竹縣,中央氣象局,2019-03-28 08:00,新竹,0.94,"24,49,40","121,00,51"
臺北市,中央氣象局,2019-03-28 08:00,鞍部,0.24,"25,10,57","121,31,47"
屏東縣,中央氣象局,2019-03-28 08:00,恆春,0.84,"22,00,14","120,44,47"
臺北市,中央氣象局,2019-03-28 08:00,臺北,0.74,"25,02,16","121,30,53"
臺東縣,中央氣象局,2019-03-28 08:00,成功,0.82,"23,05,51","121,22,24"
基隆市,中央氣象局,2019-03-28 08:00,基隆,0.71,"25,07,60","121,44,26"
桃園市,中央氣象局,2019-03-28 08:00,新屋,0.84,"25,00,24","121,02,51"
臺東縣,中央氣象局,2019-03-28 08:00,蘭嶼,0.20,"22,02,13","121,33,30"
臺東縣,中央氣象局,2019-03-28 08:00,臺東,0.51,"22,45,08","121,09,17"
南投縣,中央氣象局,2019-03-28 08:00,日月潭,0.93,"23,52,53","120,54,29"
金門縣,中央氣象局,2019-03-28 08:00,金門,0.58,"24,24,26","118,17,21"
宜蘭縣,中央氣象局,2019-03-28 08:00,宜蘭,0.99,"24,45,50","121,45,24"
澎湖縣,中央氣象局,2019-03-28 08:00,澎湖,0.76,"23,33,56","119,33,47"
臺中市,中央氣象局,2019-03-28 08:00,臺中,0.71,"24,08,45","120,41,03"
嘉義市,中央氣象局,2019-03-28 08:00,嘉義,0.84,"23,29,45","120,25,58"
